Usuario,Mensagem,Localizacao
lovees_noah,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…","Litchfield, segurança máxima"
obrienstrokes,caralho o boulos.. a marina mano.. pelo amor de deus na moral,nan
williegamba,O Boulos está tecnicamente empatado comigo que nem me candidatei. #Eleições2018,São Paulo
raphaelscostarj,"@Val_Ce1 #Eleições2018 @CaboDaciolo empatado c/ @meirelles, e a frente de @MarinaSilva, @alvarodias_ e @GuilhermeBoulos",Rio de Janeiro
ValencaBethania,"RT @g1: Boulos vota na PUC, Zona Oeste de São Paulo https://t.co/tJ7WfoHvgb #Eleições2018 #G1 https://t.co/QuqSrtYNi3",nan
dominatrixrj,"como que esses sequelados do alckmin, amoedo, meirelles tem mais voto que marina, boulos... meu deus do ceu",rio de janeiro
RafaelRoballogk,"Aquele momento de descontração, cabo Daciolo na frente de Marina Silva e Boulos... 👏👏👏👏 
#Eleições2018 https://t.co/YMuNHorhvW",nan
pedrohcponchio,"@JanainaDoBrasil teve mais votos que Henrique Meirelles, Cabo Daciolo, Marina Silva, Álvaro Dias, Guilherme Boulos.

#Eleições2018",United States
KaylaneEmanuel4,"RT @sz_hazza: Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro…",nan
Taly_chan,"Então né....
Já tô lançando meu crowd funding
""Ajude uma esquerdista a ir pra cuba""

#eleições2018
#Haddad13 #Ciro12 #Boulos50",nan
stronginbiebs,RT @clubdoscinco: boulos voce é presidente no meu coração ok https://t.co/nTCIJSrQXq,J follow- 13/11/16 💞
dederoodrigues,"Avante, @GuilhermeBoulos! Você tem muito potencial, é jovem e extremamente competente, sua hora na presidência cheg… https://t.co/gQN7O8tGAp",nan
raissaalabarce,"#Eleições2018

Bolsonaro (81 votos)
Ciro (22 votos)
Haddad (15 votos)
Alckmin (7 votos)
Amoêdo (5 votos)
Boulos (2… https://t.co/JU53qs4RMy","Brasília, Brasil"
pessoaindignada,Boulos: 50 tons de fracasso nestas eleições! 😂😂😂😂😂😂😂,nan
DiogoTenorio8,"#Eleições2018 #GNEleicoes2018 
@CaboDaciolo terminou a campanha colocando no chinelo @MarinaSilva e @GuilhermeBoulos. Glória!",nan
jeessicamotar,"Agora tá com vocês Ciristas, marinistas, galera do boulos,do Alckmin se vcs forem votar nulo, a gente vai pra merda… https://t.co/8LpjKXVWD2",.
pizzap0tter,olha esse neném meu voto foi seu @GuilhermeBoulos,another dimension
duda_amato,RT @vkuhnn: brasil não merece o boulos https://t.co/6c4T9EU21R,"Porto Alegre, Brasil"
TheDiegoLeonel,"Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #Eleições2018","Maceió, Brasil"
KingRuckFules,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…","Bom Jesus do Norte, Brasil"
MatheusXXXX_,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Minha casa
fergusfromhell,"Olha meu amozinho, desculpa ter votado no Boulos",protected by binnie ;
Mario_Jorge171,RT @g1: Boulos vota em SP e pede para que eleitor 'não deposite o ódio nas urnas' https://t.co/tJ7WfoHvgb #Eleições2018 #G1 https://t.co/Ns…,Tijuca - Zona Norte
DessaMMaia,"RT @g1: Boulos vota na PUC, Zona Oeste de São Paulo https://t.co/tJ7WfoHvgb #Eleições2018 #G1 https://t.co/QuqSrtYNi3","Goiânia, Brasil"
Denise56Galvao,RT @MidiaNINJA: . @guilhermeboulos vota na PUC em São Paulo ao lado da sua companheira @natszermeta e das filhas e recebe o carinho de cand…,nan
marcelosl64,RT @g1: Boulos vota em SP e pede para que eleitor 'não deposite o ódio nas urnas' https://t.co/tJ7WfoHvgb #Eleições2018 #G1 https://t.co/Ns…,Brasil
jehmichelss,"RT @g1: Boulos vota na PUC, Zona Oeste de São Paulo https://t.co/tJ7WfoHvgb #Eleições2018 #G1 https://t.co/QuqSrtYNi3","Santa Catarina, Brasil"
strangtthingz,RT @clubdoscinco: boulos voce é presidente no meu coração ok https://t.co/nTCIJSrQXq,nan
t_astrobooy,"RT @g1: Boulos vota na PUC, Zona Oeste de São Paulo https://t.co/tJ7WfoHvgb #Eleições2018 #G1 https://t.co/QuqSrtYNi3",Gayânia
guitsme,"RT @g1: Boulos vota na PUC, Zona Oeste de São Paulo https://t.co/tJ7WfoHvgb #Eleições2018 #G1 https://t.co/QuqSrtYNi3","Rio de Janeiro, Brasil"
sgreysz,RT @clubdoscinco: boulos voce é presidente no meu coração ok https://t.co/nTCIJSrQXq,sp
Raul_Akira,"Boletim de urna da minha seção. Zona Eleitoral: 347. Escola Zalina - SP.

#bolsonaro #boulos #ciro #amoedo #Daciolo… https://t.co/7nOTsnHQTu","Penha, São Paulo"
pynguas_,"Boulos foi votar e n quer mais sair do prédio, a policia foi chamada #Eleições2018","Goiânia, GO"
MarvinVal1,Boulos votou numa escola que foi invadida e está ocupada huahaehuehu pq não tinha mais serventia dado ao total aban… https://t.co/KcI2sN9kPm,"Rio de Janeiro, Brasil"
atlantiqi,"RT @g1saopaulo: O candidato do PSOL na eleição para presidente, Guilherme Boulos, chega com as filhas para votar na PUC-SP #Eleições2018 ht…",nan
SaabBrasil,"RT @Raul_Akira: Boletim de urna da minha seção. Zona Eleitoral: 347. Escola Zalina - SP.

#bolsonaro #boulos #ciro #amoedo #Daciolo #Marina…",nan
JxCxSUBVERSIVO,50entei  👊 #Eleições2018 @GuilhermeBoulos @GuajajaraSonia 🙋,"Pernambuco, Brazil"
Hubertobarth,"RT @Raul_Akira: Boletim de urna da minha seção. Zona Eleitoral: 347. Escola Zalina - SP.

#bolsonaro #boulos #ciro #amoedo #Daciolo #Marina…","Estrela, RS"
giulifsr,"RT @ibrags: Menor gasto de campanha
Jejua no monte
Ajuda cadeirante a votar

E ainda tem mais intenção de votos que o Boulos https://t.co/k…",RJ
SillvioSantos,"RT @Raul_Akira: Boletim de urna da minha seção. Zona Eleitoral: 347. Escola Zalina - SP.

#bolsonaro #boulos #ciro #amoedo #Daciolo #Marina…",Brasil
