Usuario,Mensagem,Localizacao
_Iogan,"RT @tferrerm: São Paulo capital, al 98%:
Bolsonaro 44,6%
Haddad 19,6%
Gomes 14,8%
Alckmin 8,8%
Amoêdo 5,7%
Silva 1,5%
#EleccionesBrasil #El…","Lincoln, NE"
junior3mundial,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Minas Gerais, Brasil"
FabiParraguezM,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Chile
news_eduardoc,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Brasil
ricardo_bap,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Campinas - SP
aguiar_mattheus,"RT @futmemes_: URGENTE!!!!
Um candidato novo e totalmente aleatório, passa haddad e bolsonaro! #Eleições2018 https://t.co/wLMLv9xp8H","Serra, Brasil"
jackiesampaio,Não Podemos Aceitar que o Brasil vire uma Nova Venezuela! #ptnuncamais #forapt #eleições2018 #lulanacadeia… https://t.co/h0QZBHd2la,"Rio de Janeiro, Brasil"
VaneliBM,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",BH/MG
riklukas,"RT @cesaraugfabbri: Segundo turno  🎶🎵""Vai dar PT, vai dar, vai dar PT, vai dar!"" 🎵🎶
#HaddadPresidente #Eleições2018 https://t.co/RhzVXUVBqA",Campo Grande Rio de Janeiro
gabrieladamasio,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brasil
enairA_VL,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…","Rio de Janeiro, Brasil"
_LovegoodRavenc,Cansada de ter que carregar o Brasil nas costas. #HaddadÉ13 #EleNao,Hogwarts
jornalistavitor,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Brasil
pseudocomunista,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…","Isla de Nueva Andalucía, BRA"
momodoagreste,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…",Saturno
NinoDinarelli,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","São Paulo, Brasil"
10Aleson,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Maceió, Alagoas - Brasil"
HoraBrNoticias,#Eleições2018: Bolsonaro e Haddad estão no segundo turno https://t.co/7XGwpiOvZF via @HoraBrNoticias,"São Paulo, Brasil"
venusemtaurus,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Belém, Brasil"
_Peedroeduardo,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
IvanSgarabotto,"Urnas apuradas - Presidente (99,99%): 

Jair Bolsonaro (PSL): 46,07%
Fernando Haddad (PT): 29,22%
Ciro Gomes (PDT):… https://t.co/kgIviqvMxX",Caxias do Sul
feliperageshard,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…","Santa Catarina, Brasil"
daftporra,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…",nan
Leonice20917033,"RT @MeloFelip: Esqueçam o tombo do Ciro e venham apoiar o Haddad no segundo turno, temos que unir forças pra salvar o Brasil meu povo, não…",Valinhos
somariamesmo,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Teresina, Piauí"
RodrigoCGonalv1,RT @cleiton_2020: Como tenho vergonha de ALGUNS CEARENSES que viajaram nas mentiras do Lula e do Hadad. Ainda bem que tera 2o. Turno pra co…,Teresina Pi
feliipe_fran,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brasília
