Usuario,Mensagem,Localizacao
MyriOliveira,"RT @MyriOliveira: Ciro, Alckmin, Marina, Boulos, Daciolo e Meirelles fecham com o Haddad no 2º turno? #Eleições2018 #BocadeUrna https://t.c…","Rio de Janeiro, Brasil"
taylnrswift,a marina??? ela estava em terceiro no inicio da corrida eleitoral,nan
_kengenti,"O GRITOOO QUE EU DEI, QUANDO VI QUE ATÉ O DACIOLO PASSOU DA MARINA #Eleições2018","Palmas, Brasil"
alanbrunocosta,"Que vergonha gente, um país  que Daciolo tá sendo mais votado que uma Marina Silva: Brasil amigo, assim não tem com… https://t.co/Vu6KD3cDjN",SIMÕES FILHO - BA  BRASIL 
JuhStolze,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Bahia, Brasil"
leocolato,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,middle earth
scarsteinfeld,PORRA BRASIL ESSES WHOS EM CIMA DA MARINA CARALHO TE AMO PORTUGAL NUNCA CRITIQUEI,hufflepuff
DanSouza1988,"RT @LeandroMartyns1: Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","Gaspar, SC, Brasil"
MariiLarisse,Caraca Marina ficou atrás até do Daciolo #Eleições2018,"Lawrence, KS"
biancheti,Marina nem chega a 1% 😂😂😂 #Eleições2018,"São Paulo, Brasil"
rikcborges,Cadê aquele movimento para o Ciro? Parece que não rolou. Alckmin parece que diminuiu mais e a Marina sumiu!!,São Paulo/SP - Brazil
chuvasdeprata7,Não consigo acreditar Amoêdo que nem participou dos debates porque não atingiu 6% está ganhando da Marina Silva.… https://t.co/a5kYuAfvi3,Brasil
P_Roberto21,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Nilópolis, Brasil"
EduardoHideoK,"RT @LeandroMartyns1: Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","São Paulo, Brasil"
joaopnevs,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,"Imaruí, Brasil"
WillianMax,Marina e o seu dom de despencar em toda eleição. Inacreditável. #Eleições2018,"Belo Horizonte, Brasil"
