Usuario,Mensagem,Localizacao
GPires06,"O que eu queria pro segundo turno:
Amoedo x Ciro 

O que vai ser no segundo turno:
Bolsonaro x Haddad

#Eleições2018",nan
pockjimin,"RT @sailoratlantis: Dublin - Irlanda #eleições2018

1. Ciro Gomes (369 votos)
2. Bolsonaro (366 votos)
3. Amoedo (100 votos)
4. Haddad (77…","Coréia do Brasil, Seoul Paulo."
bchartsnet,"Geraldo Alckmin (PSDB) 4,88%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,24% 
Cabo Daciolo (PATRI) 1,15%
Ma… https://t.co/9xOMHs0Q1c",Brasil
fxxkjjgkth,"RT @sailoratlantis: Dublin - Irlanda #eleições2018

1. Ciro Gomes (369 votos)
2. Bolsonaro (366 votos)
3. Amoedo (100 votos)
4. Haddad (77…",@skjloveknj💘 | TAEKOOK NAMORA
_nanamarini,"Ta vendo, se todo mundo que queria votar no Amoedo votasse mesmo, o cara teria chance...mas não, votou no demônio p… https://t.co/V24hcvxO5x",nan
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,88%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,24% 
Cabo Daciolo (PATRI) 1,15%
Marina Sil…","Embu, SP"
ccamicase,Bicho o amoedo quase chega no alckmin morre o psdb,nan
BRUNOCORIOLANO,"Nunca duvidei que João Amoêdo iria fazer uma campanha decente. Tirando os já políticos tradicionais,… https://t.co/4eWXh5WYBe","Stockholm, Sweden"
coachsandrolima,"Parabéns @joaoamoedonovo 

Terá 2 turno por sua culpa 

#Eleições2018",nan
MagaCasagrande,"RT @sailoratlantis: Dublin - Irlanda #eleições2018

1. Ciro Gomes (369 votos)
2. Bolsonaro (366 votos)
3. Amoedo (100 votos)
4. Haddad (77…",Narnia
dynamvs,João Amoedo foi o novo câncer destas eleições #Eleições2018,nan
arroztalvez,"Amoêdo 2,6% 🧡",Brasil
VTweenTy,"RT @CorrupcaoMemes: @joaoamoedonovo  indo votar em sí mesmo, agora tendo um total de 1 voto !
#OndaLaranja 
#Eleições2018 https://t.co/esk6…",provavelmente fumando maconha
Diana_nostalgic,"RT @tferrerm: A presidente, al 68% escrutado:
Jair Bolsonaro 48,4%
Fernando Haddad 26,6%
Ciro Gomes 12,4%
Geraldo Alckmin 4,9%
João Amoedo…",nan
