Usuario,Mensagem,Localizacao
Santos_Angelica,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","São José dos Campos, Brasil"
beto_jeh,RT @CaboDaciolo: Glória a Deus https://t.co/yWzxfqfkPl,nan
SarinhaMsMs,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",nan
__zoof,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
rafael_lins83,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","       Brasil, São Paulo - SP"
notforsociety,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Brasília
LigiaLySB,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Rio de Janeiro (Capital)
TadeuInocencio,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Diadema 
Janbaggins,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Fortaleza - Ceará
RaissonSPFC,Que homem Cabo Daciolo é,"São Paulo, Brasil"
HeLoisa_Chow,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Araçatuba-SP-Brasil 
notforsociety,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Brasília
mota0404,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Nova Iguaçu / Rio das Ostras 
LuSantus100,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","Curitiba, Brasil"
PaulaCLeao,"RT @twistweb: @TheInterceptBr ↖️↘️ 
Cabo eleitoral do Coiso eleito senador por #SP : @MOBILIDADECOTIA
https://t.co/kbYPwdwHEU #TIBnasEleiçõ…",Santarém-Pará_Brasil
KleysonJohnny,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
pri_chagas01,Agora quem surpreendeu foi o Daciolo!Vou sentir saudades dele nos debates...já quero um compacto com os melhores momentos!❤️ #Eleições2018,Brasil
alex_decs,"Enquanto a Marina Silva não desce do muro, o Cabo Daciolo sobe o monte. Ele é quem está certo nessa história e sai… https://t.co/iZPjFhJ9m3","Belém, Brasil"
renato272007,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Barretos-SP
matheusim17,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID","Niterói, Brasil"
anabuenopina,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",Curitiba
thiagothc1,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
vidaempartes,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",URSAL
willianrdrgs,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",$C
